"Part";"Value";"Device";"Package";"Description";"MF";"MFGN";"MFGP";"MPN";"NOTES";"OC_FARNELL";"OC_NEWARK";"PRICE";"PROD_ID";
"C1";"100pF";"RF-C0603";"C0603";"RF capacitor pads for FSL reference design";"";"Murata";"C0603C101K5RACTU";"";"";"";"";"";"";
"C2";"1nF";"RF-C0603";"C0603";"RF capacitor pads for FSL reference design";"";"Murata";"C0603C102K4RACTU";"";"";"";"";"";"";
"C3";"100pF";"RF-C0603";"C0603";"RF capacitor pads for FSL reference design";"";"Murata";"C0603C101K5RACTU";"";"";"";"";"";"";
"C4";"100pF";"RF-C0603";"C0603";"RF capacitor pads for FSL reference design";"";"Murata";"C0603C101K5RACTU";"";"";"";"";"";"";
"C10";".1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";"Murata";"GRM155R61C104KA88D";"";"";"";"";"0.03";"";
"C11";".1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";"Murata";"GRM155R61C104KA88D";"";"";"";"";"0.03";"";
"C12";".1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";"Murata";"GRM155R61C104KA88D";"";"";"";"";"0.03";"";
"C13";".1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";"Murata";"GRM155R61C104KA88D";"";"";"";"";"0.03";"";
"C14";".1uF";"RF-C0402";"C0402";"RF capacitor pads for FSL reference design";"";"Murata";"GRM155R61C104KA88D";"";"";"";"";"0.03";"";
"D1";"RED";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"OSRAM";"Q62702P5182";"";"DNP";"";"";"";"";
"D2";"GREEN";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"OSRAM";"LG R971-KN-1";"";"DNP";"";"";"";"";
"IC1";"74AHC1G04DCK";"74AHC1G04DCK";"SC70-5";"INVERTER Gate";"";"NXP";"74LVC1GU04GW";"";"";"";"";"0.25";"";
"IC2";"74AHC1G04DCK";"74AHC1G04DCK";"SC70-5";"INVERTER Gate";"";"NXP";"74LVC1GU04GW";"";"";"";"";"0.25";"";
"IC4";"74AHC1G08DCK";"74AHC1G08DCK";"SC70-5";"2-input AND gate";"";"Diodes, Inc";"74LVC1G08SE";"";"";"";"";"0.38";"";
"IC5";"74AHC1G08DCK";"74AHC1G08DCK";"SC70-5";"2-input AND gate";"";"Diodes, Inc";"74LVC1G08SE";"";"";"";"";"0.38";"";
"IC6";"74AHC1G08DCK";"74AHC1G08DCK";"SC70-5";"2-input AND gate";"";"Diodes, Inc";"74LVC1G08SE";"";"";"";"";"0.38";"";
"J1";"M05X2PTH";"M05X2PTH";"AVR_ICSP";"Header 5x2";"";"";"";"";"DNP - flashing header";"";"";"";"";
"J2";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"";"Kobiconn";"163-7620-E";"";"";"";"";"";"";
"J3";"M08X2";"M08X2";"2X8";"";"";"";"";"";"DNP - optional channels";"";"";"";"";
"J4";"M08X2";"M08X2";"2X8";"";"";"";"";"";"DNP - optional channels";"";"";"";"";
"JF1";"JUMPER-2X-SMT-VIA";"JUMPER-2X-SMT-VIA";"JUMPER-VIA-2X";"This kind of jumper provides a place to place to put "green wires" for jumpering fetaure/options.";"";"";"";"";"DNP - flashing jumper";"";"";"";"";
"JF2";"JUMPER-2X-SMT-VIA";"JUMPER-2X-SMT-VIA";"JUMPER-VIA-2X";"This kind of jumper provides a place to place to put "green wires" for jumpering fetaure/options.";"";"";"";"";"DNP - flashing jumper";"";"";"";"";
"LED1";"BLUE";"LED5MM";"LED5MM";"LED";"";"Cree Inc";"C503B-BCN-CV0Z0461";"";"";"";"";"";"";
"Q1";"MOSFET-NCHANNELBSS138";"MOSFET-NCHANNELBSS138";"SOT23";"Common NMOSFET Parts";"";"Diodes Inc";"BSS138TA";"";"";"";"";"0.54";"TRANS-00830";
"Q2";"MOSFET-NCHANNELBSS138";"MOSFET-NCHANNELBSS138";"SOT23";"Common NMOSFET Parts";"";"Diodes Inc";"BSS138TA";"";"";"";"";"0.54";"TRANS-00830";
"R1";"100K";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";"Panasonic";"ERJ-2GEJ104X";"";"";"";"";"";"";
"R2";"220";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";"Panasonic";"ERJ-2GEJ224X";"";"DNP";"";"";"";"";
"R3";"390";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";"Panasonic";"ERJ-2GEJ394X";"";"DNP";"";"";"";"";
"R4";"10K";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";"Panasonic";"ERJ-2GEJ103X";"";"";"";"";"";"";
"R5";"10K";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";"Panasonic";"ERJ-2GEJ103X";"";"";"";"";"";"";
"R6";"10K";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";"Panasonic";"ERJ-2GEJ103X";"";"";"";"";"";"";
"R7";"10K";"RF-R0402";"RF-R0402";"RF resistor pads for FSL reference design";"";"Panasonic";"ERJ-2GEJ103X";"";"";"";"";"";"";
"R8";"1K";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"Stackpole Electronics Inc";"CF18JT1K00";"";"";"";"";"";"";
"SSI-5V";"HEADER-4X39357";"HEADER-4X39357";"MOLEX-39357-0004";"4 position pin header";"";"Molex";"39357-0004";"";"";"";"";"1.00";"";
"U$2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";
"U$3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";
"U$4";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";
"U1";"ZSFM201-1A";"ZSFM201-1A";"ZSFM201-1";"The CEL MC13224V";"";"CEL";"ZFSM-201-1C";"";"";"";"";"29.00";"";
"U3";"LM2936DT-3.3";"LM2936DT-3.3";"TO252";"Ultra-Low Quiescent Current LDO Voltage Regulator";"";"STM Electronics";"L4931ABDT33-TR";"LM2936DT-3.3.";"";"1286863";"26M0361";"1.00";"";
"U4";"SN74HC595PW";"SN74HC595PW";"TSSOP16";"";"";"TI";"SN74HC595PWR";"";"";"";"";"0.31";"";
"U5";"74HCT193PW";"74HCT193PW";"TSSOP16";"";"";"NXP";"74HCT193PW";"";"";"";"";"0.60";"";
"U6";"D-FLIP-FLOP-74LV1G79DBVR";"D-FLIP-FLOP-74LV1G79DBVR";"SOT23-5";"";"";"TI";"SN74LVC1G79DBVR";"";"";"";"";"0.27";"";
"U7";"D-FLIP-FLOP-74LV1G79DBVR";"D-FLIP-FLOP-74LV1G79DBVR";"SOT23-5";"";"";"TI";"SN74LVC1G79DBVR";"";"";"";"";"0.27";"";
"U8";"D-FLIP-FLOP-74LV1G79DBVR";"D-FLIP-FLOP-74LV1G79DBVR";"SOT23-5";"";"";"TI";"SN74LVC1G79DBVR";"";"";"";"";"0.27";"";
